id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3303700376.00,20141201T000000,667000.00,3.00,1.00,1400.00,1581.00,1.50,0.00,0.00,5.00,8.00,1400.00,0.00,1909.00,0.00,98112.00,47.62,-122.31,1860.00,3861.00
5101402488.00,20140624T000000,438000.00,3.00,1.75,1520.00,6380.00,1.00,0.00,0.00,3.00,7.00,790.00,730.00,1948.00,0.00,98115.00,47.70,-122.30,1520.00,6235.00
1873100390.00,20150302T000000,719000.00,4.00,2.50,2570.00,7173.00,2.00,0.00,0.00,3.00,8.00,2570.00,0.00,2005.00,0.00,98052.00,47.71,-122.11,2630.00,6026.00
8562750320.00,20141110T000000,580500.00,3.00,2.50,2320.00,3980.00,2.00,0.00,0.00,3.00,8.00,2320.00,0.00,2003.00,0.00,98027.00,47.54,-122.07,2580.00,3980.00
2426039314.00,20141201T000000,280000.00,2.00,1.50,1190.00,1265.00,3.00,0.00,0.00,3.00,7.00,1190.00,0.00,2005.00,0.00,98133.00,47.73,-122.36,1390.00,1756.00
461000390.00,20140624T000000,687500.00,4.00,1.75,2330.00,5000.00,1.50,0.00,0.00,4.00,7.00,1510.00,820.00,1929.00,0.00,98117.00,47.68,-122.37,1460.00,5000.00
7589200193.00,20141110T000000,535000.00,3.00,1.00,1090.00,3000.00,1.50,0.00,0.00,4.00,8.00,1090.00,0.00,1929.00,0.00,98117.00,47.69,-122.38,1570.00,5080.00
7955080270.00,20141203T000000,322500.00,4.00,2.75,2060.00,6659.00,1.00,0.00,0.00,3.00,7.00,1280.00,780.00,1981.00,0.00,98058.00,47.43,-122.16,2020.00,8720.00
9547205180.00,20140613T000000,696000.00,3.00,2.50,2300.00,3060.00,1.50,0.00,0.00,3.00,8.00,1510.00,790.00,1930.00,2002.00,98115.00,47.68,-122.31,1590.00,3264.00
9435300030.00,20140528T000000,550000.00,4.00,1.00,1660.00,34848.00,1.00,0.00,0.00,1.00,5.00,930.00,730.00,1933.00,0.00,98052.00,47.66,-122.13,2160.00,11467.00
2768000400.00,20141230T000000,640000.00,4.00,2.00,2360.00,6000.00,2.00,0.00,0.00,4.00,8.00,2360.00,0.00,1904.00,0.00,98107.00,47.67,-122.36,1730.00,4700.00
7895500070.00,20150213T000000,240000.00,4.00,1.00,1220.00,8075.00,1.00,0.00,0.00,2.00,7.00,890.00,330.00,1969.00,0.00,98001.00,47.33,-122.28,1290.00,7800.00
2078500320.00,20140620T000000,605000.00,4.00,2.50,2620.00,7553.00,2.00,0.00,0.00,3.00,8.00,2620.00,0.00,1996.00,0.00,98056.00,47.53,-122.18,2620.00,11884.00
5547700270.00,20140715T000000,625000.00,4.00,2.50,2570.00,5520.00,2.00,0.00,0.00,3.00,9.00,2570.00,0.00,2000.00,0.00,98074.00,47.61,-122.03,2470.00,5669.00
7766200013.00,20140811T000000,775000.00,4.00,2.25,4220.00,24186.00,1.00,0.00,0.00,3.00,8.00,2600.00,1620.00,1984.00,0.00,98166.00,47.45,-122.35,2410.00,30617.00
7203220400.00,20140707T000000,861990.00,5.00,2.75,3595.00,5639.00,2.00,0.00,0.00,3.00,9.00,3595.00,0.00,2014.00,0.00,98053.00,47.68,-122.02,3625.00,5639.00
9270200160.00,20141028T000000,685000.00,3.00,1.00,1570.00,2280.00,2.00,0.00,0.00,3.00,7.00,1570.00,0.00,1922.00,0.00,98119.00,47.64,-122.36,1580.00,2640.00
1432701230.00,20140729T000000,309000.00,3.00,1.00,1280.00,9656.00,1.00,0.00,0.00,4.00,6.00,920.00,360.00,1959.00,0.00,98058.00,47.45,-122.18,1340.00,8808.00
8035350320.00,20140718T000000,488000.00,3.00,2.50,3160.00,13603.00,2.00,0.00,0.00,3.00,8.00,3160.00,0.00,2003.00,0.00,98019.00,47.74,-121.98,3050.00,9232.00
8945200830.00,20150325T000000,210490.00,3.00,1.00,990.00,8528.00,1.00,0.00,0.00,3.00,6.00,990.00,0.00,1966.00,0.00,98023.00,47.31,-122.37,1228.00,8840.00
4178300310.00,20140716T000000,785000.00,4.00,2.50,2290.00,13416.00,2.00,0.00,0.00,4.00,9.00,2290.00,0.00,1981.00,0.00,98007.00,47.62,-122.15,2680.00,13685.00
9215400105.00,20150428T000000,450000.00,3.00,1.75,1250.00,5963.00,1.00,0.00,0.00,4.00,7.00,1250.00,0.00,1953.00,0.00,98115.00,47.68,-122.30,970.00,5100.00
822039084.00,20150311T000000,1350000.00,3.00,2.50,2753.00,65005.00,1.00,1.00,2.00,5.00,9.00,2165.00,588.00,1953.00,0.00,98070.00,47.40,-122.45,2680.00,72513.00
5245600105.00,20140916T000000,228000.00,3.00,1.00,1190.00,9199.00,1.00,0.00,0.00,3.00,7.00,1190.00,0.00,1955.00,0.00,98148.00,47.43,-122.32,1190.00,9364.00
7231300125.00,20150217T000000,345000.00,5.00,2.50,3150.00,9134.00,1.00,0.00,0.00,4.00,8.00,1640.00,1510.00,1966.00,0.00,98056.00,47.49,-122.19,1990.00,9133.00
7518505990.00,20141231T000000,600000.00,3.00,1.75,1410.00,4080.00,1.00,0.00,0.00,4.00,7.00,1000.00,410.00,1950.00,0.00,98117.00,47.68,-122.38,1410.00,4080.00
3626039271.00,20150205T000000,585000.00,2.00,1.75,1980.00,8550.00,1.00,0.00,0.00,3.00,7.00,990.00,990.00,1981.00,0.00,98117.00,47.70,-122.37,1480.00,6738.00
4217401195.00,20150303T000000,920000.00,5.00,2.25,2730.00,6000.00,1.50,0.00,0.00,3.00,8.00,2130.00,600.00,1927.00,0.00,98105.00,47.66,-122.28,2730.00,6000.00
9822700295.00,20140512T000000,885000.00,4.00,2.50,2830.00,5000.00,2.00,0.00,0.00,3.00,9.00,2830.00,0.00,1995.00,0.00,98105.00,47.66,-122.29,1950.00,5000.00
9478500640.00,20140819T000000,292500.00,4.00,2.50,2250.00,4495.00,2.00,0.00,0.00,3.00,7.00,2250.00,0.00,2008.00,0.00,98042.00,47.37,-122.11,2250.00,4500.00
2799800710.00,20150407T000000,301000.00,3.00,2.50,2420.00,4750.00,2.00,0.00,0.00,3.00,8.00,2420.00,0.00,2003.00,0.00,98042.00,47.37,-122.12,2690.00,4750.00
7922800400.00,20140827T000000,951000.00,5.00,3.25,3250.00,14342.00,2.00,0.00,4.00,4.00,8.00,3250.00,0.00,1968.00,0.00,98008.00,47.59,-122.12,2960.00,11044.00
8079040320.00,20150223T000000,430000.00,4.00,3.00,1850.00,9976.00,2.00,0.00,0.00,3.00,8.00,1850.00,0.00,1991.00,0.00,98059.00,47.51,-122.15,2270.00,8542.00
1516000055.00,20141210T000000,650000.00,3.00,2.25,2150.00,21235.00,1.00,0.00,3.00,4.00,8.00,1590.00,560.00,1959.00,0.00,98166.00,47.43,-122.34,2570.00,18900.00
9558200045.00,20140828T000000,289000.00,3.00,1.75,1260.00,8400.00,1.00,0.00,0.00,3.00,7.00,1260.00,0.00,1954.00,0.00,98148.00,47.44,-122.34,1290.00,8750.00
5072410070.00,20141021T000000,505000.00,3.00,1.75,2519.00,8690.00,2.00,0.00,0.00,5.00,8.00,2519.00,0.00,1973.00,0.00,98166.00,47.44,-122.34,2500.00,9500.00
9528102996.00,20141207T000000,549000.00,3.00,1.75,1540.00,1044.00,3.00,0.00,0.00,3.00,8.00,1540.00,0.00,2014.00,0.00,98115.00,47.68,-122.32,1580.00,3090.00
1189001180.00,20140603T000000,425000.00,3.00,2.25,1660.00,6000.00,1.00,0.00,0.00,3.00,7.00,1110.00,550.00,1979.00,0.00,98122.00,47.61,-122.30,1440.00,4080.00
3253500160.00,20141120T000000,317625.00,3.00,2.75,2770.00,3809.00,1.50,0.00,0.00,5.00,7.00,1770.00,1000.00,1925.00,0.00,98144.00,47.57,-122.30,1440.00,4000.00
3394100030.00,20140909T000000,975000.00,4.00,2.50,2720.00,11049.00,2.00,0.00,0.00,3.00,10.00,2720.00,0.00,1989.00,0.00,98004.00,47.58,-122.19,2750.00,11049.00
3717000160.00,20141009T000000,287000.00,4.00,2.50,2240.00,4648.00,2.00,0.00,0.00,3.00,7.00,2240.00,0.00,2005.00,0.00,98001.00,47.34,-122.26,2221.00,4557.00
1274500060.00,20140825T000000,204000.00,3.00,1.00,1000.00,12070.00,1.00,0.00,0.00,4.00,7.00,1000.00,0.00,1968.00,0.00,98042.00,47.36,-122.11,1010.00,12635.00
1802000060.00,20140612T000000,1325000.00,5.00,2.25,3200.00,20158.00,1.00,0.00,0.00,3.00,8.00,1600.00,1600.00,1965.00,0.00,98004.00,47.63,-122.22,3390.00,20158.00
1525059190.00,20140912T000000,1040000.00,5.00,3.25,4770.00,50094.00,1.00,0.00,0.00,4.00,11.00,3070.00,1700.00,1973.00,0.00,98005.00,47.65,-122.16,3530.00,38917.00
1049000060.00,20150105T000000,325000.00,3.00,2.00,1260.00,5612.00,1.00,0.00,0.00,4.00,7.00,1260.00,0.00,1972.00,0.00,98034.00,47.74,-122.18,1640.00,4745.00
8820901275.00,20140610T000000,571000.00,4.00,2.00,2750.00,7807.00,1.50,0.00,0.00,5.00,7.00,2250.00,500.00,1916.00,0.00,98125.00,47.72,-122.29,1510.00,7807.00
5416510140.00,20140710T000000,360000.00,4.00,2.50,2380.00,5000.00,2.00,0.00,0.00,3.00,8.00,2380.00,0.00,2005.00,0.00,98038.00,47.36,-122.04,2420.00,5000.00
3444100400.00,20150316T000000,349000.00,3.00,1.75,1790.00,50529.00,1.00,0.00,0.00,5.00,7.00,1090.00,700.00,1965.00,0.00,98042.00,47.35,-122.07,1940.00,50529.00
3276920270.00,20141105T000000,832500.00,4.00,4.00,3430.00,35102.00,2.00,0.00,0.00,4.00,10.00,2390.00,1040.00,1986.00,0.00,98075.00,47.58,-121.99,3240.00,35020.00
4036801170.00,20141013T000000,380000.00,4.00,1.75,1760.00,7300.00,1.00,0.00,0.00,3.00,7.00,880.00,880.00,1956.00,0.00,98008.00,47.60,-122.13,1680.00,7500.00
2391600320.00,20150420T000000,480000.00,3.00,1.00,1040.00,5060.00,1.00,0.00,0.00,3.00,7.00,1040.00,0.00,1941.00,0.00,98116.00,47.56,-122.39,890.00,5060.00
6300000287.00,20140609T000000,410000.00,3.00,1.00,1410.00,5060.00,1.00,0.00,0.00,4.00,7.00,910.00,500.00,1956.00,0.00,98133.00,47.71,-122.34,1130.00,5693.00
1531000030.00,20150323T000000,720000.00,4.00,2.50,3450.00,39683.00,2.00,0.00,0.00,3.00,10.00,3450.00,0.00,2002.00,0.00,98010.00,47.34,-122.03,3350.00,39750.00
5104520400.00,20141202T000000,390000.00,3.00,2.50,2350.00,5100.00,2.00,0.00,0.00,3.00,8.00,2350.00,0.00,2003.00,0.00,98038.00,47.35,-122.01,2350.00,5363.00
7437100340.00,20141222T000000,360000.00,4.00,2.50,1900.00,5889.00,2.00,0.00,0.00,3.00,7.00,1900.00,0.00,1992.00,0.00,98038.00,47.35,-122.03,1870.00,6405.00
9418400240.00,20141028T000000,355000.00,2.00,1.00,2020.00,6720.00,1.00,0.00,0.00,3.00,7.00,1010.00,1010.00,1948.00,0.00,98118.00,47.55,-122.29,1720.00,6720.00
1523059105.00,20150128T000000,356000.00,3.00,1.50,1680.00,8712.00,1.00,0.00,0.00,3.00,8.00,1680.00,0.00,1964.00,0.00,98059.00,47.48,-122.15,1850.00,8797.00
1133000671.00,20140602T000000,315000.00,3.00,1.00,960.00,6634.00,1.00,0.00,0.00,3.00,6.00,960.00,0.00,1952.00,0.00,98125.00,47.73,-122.31,1570.00,7203.00
4232902595.00,20141114T000000,940000.00,3.00,1.50,2140.00,3600.00,2.00,0.00,0.00,3.00,9.00,1900.00,240.00,1925.00,0.00,98119.00,47.63,-122.37,2020.00,4800.00
2599001200.00,20141103T000000,305000.00,5.00,2.25,2660.00,8400.00,1.50,0.00,0.00,5.00,7.00,2660.00,0.00,1961.00,0.00,98092.00,47.29,-122.19,1590.00,8165.00
3342103156.00,20140618T000000,461000.00,3.00,3.25,2770.00,6278.00,2.00,0.00,0.00,3.00,9.00,1980.00,790.00,2006.00,0.00,98056.00,47.52,-122.20,1900.00,7349.00
1332700270.00,20140519T000000,215000.00,2.00,2.25,1610.00,2040.00,2.00,0.00,0.00,4.00,7.00,1610.00,0.00,1979.00,0.00,98056.00,47.52,-122.19,1950.00,2025.00
3869900162.00,20140904T000000,335000.00,2.00,1.75,1030.00,1066.00,2.00,0.00,0.00,3.00,7.00,765.00,265.00,2006.00,0.00,98136.00,47.54,-122.39,1030.00,1106.00
2791500270.00,20140522T000000,243500.00,4.00,2.50,1980.00,7403.00,2.00,0.00,0.00,3.00,7.00,1980.00,0.00,1988.00,0.00,98023.00,47.29,-122.37,1980.00,7510.00
5036300431.00,20150311T000000,1099880.00,5.00,2.75,3520.00,6353.00,2.00,0.00,0.00,4.00,10.00,3520.00,0.00,2001.00,0.00,98199.00,47.65,-122.39,2520.00,6250.00
4168000060.00,20150226T000000,153000.00,3.00,1.00,1200.00,10500.00,1.00,0.00,0.00,3.00,7.00,1200.00,0.00,1962.00,0.00,98023.00,47.32,-122.35,1350.00,10500.00
6021501535.00,20140725T000000,430000.00,3.00,1.50,1580.00,5000.00,1.00,0.00,0.00,3.00,8.00,1290.00,290.00,1939.00,0.00,98117.00,47.69,-122.39,1570.00,4500.00
6021501535.00,20141223T000000,700000.00,3.00,1.50,1580.00,5000.00,1.00,0.00,0.00,3.00,8.00,1290.00,290.00,1939.00,0.00,98117.00,47.69,-122.39,1570.00,4500.00
1483300570.00,20140908T000000,905000.00,4.00,2.50,3300.00,10250.00,1.00,0.00,0.00,3.00,7.00,2390.00,910.00,1946.00,1991.00,98040.00,47.59,-122.25,1950.00,6045.00
3422049190.00,20150330T000000,247500.00,3.00,1.75,1960.00,15681.00,1.00,0.00,0.00,3.00,7.00,1960.00,0.00,1967.00,0.00,98032.00,47.36,-122.28,1750.00,15616.00
1099611230.00,20140912T000000,199000.00,4.00,1.50,1160.00,6400.00,1.00,0.00,0.00,4.00,7.00,1160.00,0.00,1975.00,0.00,98023.00,47.30,-122.38,1160.00,6400.00
722079104.00,20140711T000000,314000.00,3.00,1.75,1810.00,41800.00,1.00,0.00,0.00,5.00,7.00,1210.00,600.00,1980.00,0.00,98038.00,47.41,-121.96,1650.00,135036.00
7338200240.00,20140516T000000,437500.00,3.00,2.50,2320.00,36847.00,2.00,0.00,2.00,3.00,9.00,2320.00,0.00,1992.00,0.00,98045.00,47.48,-121.71,2550.00,35065.00
1952200240.00,20140611T000000,850830.00,3.00,2.50,2070.00,13241.00,1.50,0.00,0.00,5.00,9.00,1270.00,800.00,1910.00,0.00,98102.00,47.64,-122.32,2200.00,4500.00
5200100125.00,20141027T000000,555000.00,3.00,2.00,1980.00,3478.00,1.50,0.00,0.00,4.00,7.00,1440.00,540.00,1929.00,0.00,98117.00,47.68,-122.37,1610.00,3478.00
7214720075.00,20141212T000000,699950.00,3.00,2.25,2190.00,107593.00,2.00,0.00,0.00,4.00,8.00,2190.00,0.00,1983.00,0.00,98077.00,47.77,-122.08,2570.00,47777.00
2450000295.00,20141007T000000,1088000.00,3.00,2.50,2920.00,8113.00,2.00,0.00,0.00,3.00,8.00,2920.00,0.00,1950.00,2010.00,98004.00,47.58,-122.20,2370.00,8113.00
6197800045.00,20140924T000000,290000.00,3.00,1.00,1210.00,33919.00,1.00,0.00,0.00,3.00,7.00,1210.00,0.00,1954.00,0.00,98058.00,47.44,-122.18,1640.00,14910.00
1328310370.00,20150402T000000,375000.00,3.00,2.50,2340.00,10005.00,1.00,0.00,0.00,4.00,8.00,1460.00,880.00,1978.00,0.00,98058.00,47.44,-122.13,2250.00,8162.00
546000875.00,20140523T000000,460000.00,3.00,1.00,1670.00,4005.00,1.50,0.00,0.00,4.00,7.00,1170.00,500.00,1939.00,0.00,98117.00,47.69,-122.38,1240.00,4005.00
3530510041.00,20140723T000000,188500.00,2.00,1.75,1240.00,2493.00,1.00,0.00,0.00,4.00,8.00,1240.00,0.00,1985.00,0.00,98198.00,47.38,-122.32,1270.00,4966.00
1853000400.00,20150305T000000,680000.00,4.00,2.50,3140.00,28037.00,2.00,0.00,0.00,4.00,10.00,3140.00,0.00,1991.00,0.00,98077.00,47.73,-122.08,2990.00,35001.00
3134100116.00,20140827T000000,470000.00,5.00,1.75,2030.00,12342.00,2.00,0.00,0.00,4.00,7.00,2030.00,0.00,1942.00,0.00,98052.00,47.64,-122.11,2500.00,9433.00
9545230140.00,20140725T000000,597750.00,4.00,2.50,2310.00,9624.00,2.00,0.00,0.00,3.00,8.00,2310.00,0.00,1984.00,0.00,98027.00,47.54,-122.05,1940.00,9636.00
3362400511.00,20150304T000000,570000.00,3.00,1.75,1260.00,3328.00,1.00,0.00,0.00,5.00,6.00,700.00,560.00,1905.00,0.00,98103.00,47.68,-122.35,1380.00,3536.00
2525310310.00,20140916T000000,272500.00,3.00,1.75,1540.00,12600.00,1.00,0.00,0.00,4.00,7.00,1160.00,380.00,1980.00,0.00,98038.00,47.36,-122.03,1540.00,11656.00
6126500060.00,20141124T000000,329950.00,3.00,1.75,2080.00,5969.00,1.00,0.00,2.00,3.00,7.00,1080.00,1000.00,1971.00,0.00,98108.00,47.55,-122.30,2090.00,5500.00
8961960160.00,20141028T000000,480000.00,4.00,2.50,3230.00,16171.00,2.00,0.00,3.00,3.00,9.00,2520.00,710.00,2001.00,0.00,98001.00,47.32,-122.25,2640.00,8517.00
3626039325.00,20141121T000000,740500.00,3.00,3.50,4380.00,6350.00,2.00,0.00,0.00,3.00,8.00,2780.00,1600.00,1900.00,1999.00,98117.00,47.70,-122.37,1830.00,6350.00
3362400431.00,20140626T000000,518500.00,3.00,3.50,1590.00,1102.00,3.00,0.00,0.00,3.00,8.00,1590.00,0.00,2010.00,0.00,98103.00,47.68,-122.35,1620.00,3166.00
4060000240.00,20140623T000000,205425.00,2.00,1.00,880.00,6780.00,1.00,0.00,0.00,4.00,6.00,880.00,0.00,1945.00,0.00,98178.00,47.50,-122.25,1190.00,6780.00
3454800060.00,20150108T000000,171800.00,4.00,2.00,1570.00,9600.00,1.00,0.00,0.00,3.00,6.00,1570.00,0.00,1950.00,0.00,98168.00,47.50,-122.30,1880.00,9000.00
1695900060.00,20150511T000000,535000.00,4.00,1.00,1610.00,2982.00,1.50,0.00,0.00,4.00,7.00,1610.00,0.00,1925.00,0.00,98144.00,47.59,-122.29,1610.00,4040.00
7278700070.00,20150102T000000,660000.00,3.00,2.50,2400.00,6474.00,1.00,0.00,2.00,3.00,8.00,1560.00,840.00,1964.00,0.00,98177.00,47.77,-122.39,2340.00,10856.00
6675500070.00,20141119T000000,391500.00,3.00,2.00,1450.00,9132.00,1.00,0.00,0.00,3.00,7.00,1450.00,0.00,1987.00,0.00,98034.00,47.73,-122.23,1580.00,9104.00
3626039187.00,20150406T000000,395000.00,2.00,1.00,770.00,6000.00,1.00,0.00,0.00,3.00,6.00,770.00,0.00,1953.00,0.00,98117.00,47.70,-122.36,1710.00,6000.00
3524049083.00,20141104T000000,445000.00,4.00,1.75,2100.00,4400.00,1.50,0.00,0.00,5.00,7.00,1720.00,380.00,1924.00,0.00,98118.00,47.53,-122.27,1850.00,4400.00
3275860240.00,20140618T000000,770000.00,3.00,2.25,2910.00,10204.00,2.00,0.00,0.00,3.00,9.00,2910.00,0.00,1990.00,0.00,98052.00,47.69,-122.10,2700.00,13992.00
4389200955.00,20150302T000000,1450000.00,4.00,2.75,2750.00,17789.00,1.50,0.00,0.00,3.00,8.00,1980.00,770.00,1914.00,1992.00,98004.00,47.61,-122.21,3060.00,11275.00
4058801670.00,20140717T000000,445000.00,3.00,2.25,2100.00,8201.00,1.00,0.00,2.00,3.00,8.00,1620.00,480.00,1967.00,0.00,98178.00,47.51,-122.24,2660.00,8712.00
8732020310.00,20140717T000000,260000.00,4.00,2.25,2160.00,8811.00,1.00,0.00,0.00,3.00,8.00,1360.00,800.00,1978.00,0.00,98023.00,47.31,-122.39,2090.00,8400.00
2331300505.00,20140613T000000,822500.00,5.00,3.50,2320.00,4960.00,2.00,0.00,0.00,5.00,7.00,1720.00,600.00,1926.00,0.00,98103.00,47.68,-122.35,1700.00,4960.00
7853210060.00,20150406T000000,430000.00,4.00,2.50,2070.00,4310.00,2.00,0.00,0.00,3.00,7.00,2070.00,0.00,2004.00,0.00,98065.00,47.53,-121.85,1970.00,3748.00
3668000070.00,20150105T000000,212000.00,3.00,1.75,1060.00,7875.00,1.00,0.00,0.00,4.00,7.00,1060.00,0.00,1986.00,0.00,98092.00,47.28,-122.15,1420.00,7680.00
9545240070.00,20150428T000000,660500.00,4.00,2.25,2010.00,9603.00,1.00,0.00,0.00,3.00,8.00,1440.00,570.00,1986.00,0.00,98027.00,47.53,-122.05,2060.00,9793.00
1243100136.00,20140612T000000,784000.00,3.00,3.50,3950.00,111078.00,1.50,0.00,0.00,3.00,9.00,2460.00,1490.00,1989.00,0.00,98052.00,47.70,-122.07,2480.00,88500.00
8929000270.00,20140512T000000,453246.00,3.00,2.50,2010.00,2287.00,2.00,0.00,0.00,3.00,8.00,1390.00,620.00,2014.00,0.00,98029.00,47.55,-122.00,1690.00,1662.00
2767602356.00,20150126T000000,675000.00,4.00,3.50,2140.00,2278.00,3.00,0.00,0.00,3.00,9.00,2140.00,0.00,2005.00,0.00,98107.00,47.67,-122.38,1540.00,2285.00
921049315.00,20140813T000000,199000.00,3.00,1.75,1320.00,17390.00,1.00,0.00,0.00,4.00,7.00,1320.00,0.00,1956.00,0.00,98003.00,47.33,-122.30,1550.00,19265.00
3655000070.00,20140805T000000,220000.00,4.00,1.75,2020.00,7840.00,1.00,0.00,0.00,3.00,7.00,1010.00,1010.00,1968.00,0.00,98003.00,47.33,-122.30,1750.00,8140.00
4027700812.00,20140529T000000,452000.00,4.00,2.25,2590.00,10002.00,1.00,0.00,0.00,4.00,8.00,1340.00,1250.00,1968.00,0.00,98028.00,47.77,-122.27,1550.00,10436.00
3992700335.00,20140707T000000,382500.00,2.00,1.00,1190.00,4440.00,1.00,0.00,0.00,3.00,6.00,1190.00,0.00,1981.00,0.00,98125.00,47.71,-122.29,1060.00,5715.00
